show_id,type,title,director,cast,country,year_added,release_year,rating,duration,category
70058025,Movie,"Surf's Up","Ash Brannon, Chris Buck","Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder, James Woods, Diedrich Bader, Mario Cantone, Kelly Slater, Rob Machado, Sal Masekela","United States",2019,2007,PG,"86 min","Children & Family Movies, Comedies, Sports Movies"
70128696,Movie,"The Bounty Hunter","Andy Tennant","Jennifer Aniston, Gerard Butler, Jason Sudeikis, Jeff Garlin, Ritchie Coster, Cathy Moriarty, Peter Greene, Joel Marsh Garland, Siobhan Fallon Hogan, Dorian Missick, Adam Rose, Christine Baranski, Carol Kane, Adam LeFevre","United States",2019,2010,PG-13,"111 min","Action & Adventure, Comedies, Romantic Movies"
70077542,Movie,"The Bucket List","Rob Reiner","Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd, Alfonso Freeman, Rob Morrow, Rowena King, Christopher Stapleton, Ian Anthony Dale, Richard McGonagle","United States",2019,2007,PG-13,"97 min","Comedies, Dramas"
81168342,Movie,"The Cruise","Marek Piwowski","Jan Himilsbach, Stanislaw Tym, Jerzy Dobrowolski, Zdzislaw Maklakiewicz, Andrzej Dobosz, Feridun Erol, Jolanta Lothe, Wanda Stanisławska-Lothe",Poland,2019,1970,TV-PG,"66 min","Comedies, Cult Movies, International Movies"
81165772,Movie,"The Figurine (Araromire)","Kunle Afolayan","Ramsey Nouah, Omoni Oboli, Kunle Afolayan, Funlola Aofiyebi, Tosin Sido, David J. Oserwe, Kate Adepegba, Muraina Oyelami, Wale Adebayo, Ombo Gogo Ombo",Nigeria,2019,2009,TV-14,"121 min","Horror Movies, International Movies, Thrillers"
510854,Movie,"The Flintstones","Brian Levant","John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O'Donnell, Kyle MacLachlan, Halle Berry, Elizabeth Taylor, Dann Florek, Sam Raimi, Harvey Korman","United States",2019,1994,PG,"91 min","Children & Family Movies, Comedies"
60000921,Movie,"The Flintstones in Viva Rock Vegas","Brian Levant","Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski, Joan Collins, Thomas Gibson, Alan Cumming","United States",2019,2000,PG,"91 min","Children & Family Movies, Comedies, Romantic Movies"
80188730,"TV Show","The K2",,"Ji Chang-wook, Song Yoon-a, Lim Yoona, Cho Seong-ha, Kim Kap-soo, Lee Jung-jin, Son Tae-young, Shin Dong-mi","South Korea",2019,2016,TV-14,"1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
81167083,"TV Show","The Liar and His Lover",,"Lee Hyun-woo, Joy, Lee Jung-jin, Lee Seo-won, Hong Seo-young, Choi Min-soo, Lim Ye-jin, Jang Ki-yong, Song Kang, Park Ji-young","South Korea",2019,2017,TV-PG,"1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
81168343,Movie,"The lynx","Stanisław Różewicz","Jerzy Radziwiłowicz, Franciszek Pieczka, Piotr Bajor, Ryszarda Hanin, Janusz Paluszkiewicz, Henryk Machalica, Hanna Mikuć, Maria Klejdysz",Poland,2019,1982,TV-14,"82 min","Dramas, International Movies"
70044605,Movie,"The Pursuit of Happyness","Gabriele Muccino","Will Smith, Jaden Smith, Thandie Newton, Brian Howe, James Karen, Dan Castellaneta, Kurt Fuller, Takayo Fischer","United States",2019,2006,PG-13,"117 min",Dramas
18021979,Movie,"The Rugrats Movie","Igor Kovalyov, Norton Virgien","Elizabeth Daily, Christine Cavanaugh, Kath Soucie, Melanie Chartoff, Phil Proctor, Cree Summer, Cheryl Chase, Tara Strong, Jack Riley, Joe Alaskey, Michael Bell, Tress MacNeille, Busta Rhymes, Whoopi Goldberg, David Spade","United States",2019,1998,G,"81 min","Children & Family Movies, Comedies"
81168344,Movie,"The spiral","Krzysztof Zanussi","Jan Nowicki, Maja Komorowska, Zofia Kucówna, Aleksander Bardini, Jan Świderski, Seweryna Broniszówna, Piotr Garlicki, Marian Glinka",Poland,2019,1978,TV-MA,"84 min","Dramas, Independent Movies, International Movies"
70020750,Movie,"The Squid and the Whale","Noah Baumbach","Jeff Daniels, Laura Linney, Jesse Eisenberg, Owen Kline, William Baldwin, Halley Feiffer, Anna Paquin, Ken Leung, David Benger, Adam Rose","United States",2019,2005,R,"81 min","Comedies, Dramas, Independent Movies"
70105596,Movie,"The Time Traveler's Wife","Robert Schwentke","Rachel McAdams, Eric Bana, Arliss Howard, Ron Livingston, Stephen Tobolowsky, Michelle Nolden, Jane McLean, Hailey McCann, Tatum McCann, Brooklynn Proulx, Alex Ferris","United States",2019,2009,PG-13,"107 min","Dramas, Romantic Movies, Sci-Fi & Fantasy"
60037022,Movie,Trainspotting,"Danny Boyle","Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle, Kelly Macdonald, Peter Mullan, James Cosmo, Eileen Nicholas, Susan Vidler, Pauline Lynch, Shirley Henderson","United Kingdom",2019,1996,R,"94 min","Comedies, Cult Movies, Dramas"
60034571,Movie,Troy,"Wolfgang Petersen","Brad Pitt, Eric Bana, Orlando Bloom, Diane Kruger, Peter O'Toole, Rose Byrne, Sean Bean, Brian Cox, Julie Christie, Saffron Burrows","United States, Malta, United Kingdom",2019,2004,R,"163 min","Action & Adventure, Dramas"
81167047,"TV Show",Tunnel,,"Choi Jin-hyuk, Yoon Hyun-min, Lee Yoo-young, Cho Hee-bong, Kim Byoung-cheol, Kang Ki-young, Kim Min-sang, Mun Suk, Lee Yong-nyeo","South Korea",2019,2017,TV-MA,"1 Season","Crime TV Shows, International TV Shows, Korean TV Shows"
